"Infiltration","Cultivar","Seed_treatment","Tillage_type","Numb_weeding","Numb_postHarv_herb","Numb_rastreo","Numb_preSow_herb","Numb_fertilizations","Numb_applic_foliar","Numb_applic_biofer","Num_postSow_herb","Numb_insecticides","Total_nitrogen","Total_phosphorus","Total_potassium","Clay","Silt","OM","CEC","Basis_saturation","Avg_min_temp","Avg_diurn_range","Acc_sol_energy","Freq_days_maxTemp_34","Acc_precipitation","Freq_days_minTemp_8","Avg_relative_humidiy","SD_relative_humidiy","Yield"
"D4","CRIOLLO","S0","LabConvTra",1,0,0,0,2,0,0,0,1,82,0,0,29,22,2.958520648,27.59935301,84.78686529,14.64814815,10.50846561,89526.18,0,688.4,0,82.68693122,5.289265032,1.2
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,29,22,2.958520648,27.59935301,84.78686529,14.19272727,10.66787879,79006.87,0,502.6,0,82.5970303,5.134101938,2.8
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,16,17,0.837641723,8.636989795,70.3473167,14.15414013,10.7044586,74897.49,0,492.6,0,82.70738854,5.188168387,2.5
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,1,1,138,0,0,16,17,0.837641723,8.636989795,70.3473167,14.1516129,10.70129032,73715.48,0,483.7,0,82.77683871,5.183061793,3
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,0,1,156,46,0,16,17,0.837641723,8.636989795,70.3473167,14.22960894,10.67765363,85463.49,0,544.7,0,82.5122905,5.111091245,2.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,1,0,0,0,0,138,0,0,44,20,1.019558155,32.35618467,91.24216594,14.138125,10.733125,76341.75,0,492.6,0,82.63325,5.187876839,3
"D2","CRIOLLO","S0","LabConvTra",0,1,0,1,1,0,0,1,1,138,0,0,44,20,1.019558155,32.35618467,91.24216594,14.18343195,10.68461538,80981.23,0,502.9,0,82.5408284,5.117217252,3
"D4","CRIOLLO","S0","LabConvTra",0,0,0,0,2,0,0,1,1,105.5,34.5,0,16,17,0.837641723,8.636989795,70.3473167,15.27283951,10.69506173,79239.53,0,661.1,0,81.89290123,5.80714089,1.4
"D4","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,1,106.4,36.8,0,16,17,0.837641723,8.636989795,70.3473167,15.28,10.6875,78252.18,0,661.1,0,81.9039375,5.817533798,1.5
"D2","CRIOLLO","S0","LabConvTra",0,1,0,0,2,0,0,1,0,105.5,34.5,0,44,20,1.019558155,32.35618467,91.24216594,15.27283951,10.69506173,79239.53,0,661.1,0,81.89290123,5.80714089,1.5
